Navn;Stasjon;Tid(norsk normaltid);Lufttemperatur
Kjevik;SN39040;19.03.2023 12:20;5
Kjevik;SN39040;19.03.2023 12:50;5
Kjevik;SN39040;19.03.2023 13:20;6
Kjevik;SN39040;19.03.2023 13:50;6
Kjevik;SN39040;19.03.2023 14:20;6
Kjevik;SN39040;19.03.2023 14:50;6
Kjevik;SN39040;19.03.2023 15:20;6
Kjevik;SN39040;19.03.2023 15:50;6
Kjevik;SN39040;19.03.2023 16:20;6
Kjevik;SN39040;19.03.2023 16:50;6
Kjevik;SN39040;19.03.2023 17:20;5
Kjevik;SN39040;19.03.2023 17:50;5
Kjevik;SN39040;19.03.2023 18:20;5
Kjevik;SN39040;19.03.2023 18:50;5
Kjevik;SN39040;19.03.2023 19:20;5
Kjevik;SN39040;19.03.2023 19:50;5
Kjevik;SN39040;19.03.2023 20:20;4
Kjevik;SN39040;19.03.2023 20:50;4
Kjevik;SN39040;19.03.2023 21:20;4
Kjevik;SN39040;19.03.2023 21:50;4
Kjevik;SN39040;19.03.2023 22:20;4
Kjevik;SN39040;19.03.2023 22:50;4
Kjevik;SN39040;19.03.2023 23:20;4
Kjevik;SN39040;19.03.2023 23:50;4
Kjevik;SN39040;20.03.2023 00:20;3
Data er gyldig per 20.03.2023 (CC BY 4.0), Meteorologisk institutt (MET);;;
